OfficeSymbols_2014\Concepts\Calendar.svg, 4918, 2524, 51%
OfficeSymbols_2014\Concepts\Clipboard.svg, 2027, 1196, 59%
OfficeSymbols_2014\Concepts\Clock.svg, 1952, 1116, 57%
OfficeSymbols_2014\Concepts\Column.svg, 2331, 1211, 51%
OfficeSymbols_2014\Concepts\Connector.svg, 2371, 1525, 64%
OfficeSymbols_2014\Concepts\Contacts.svg, 2885, 1592, 55%
OfficeSymbols_2014\Concepts\Content_Type.svg, 2723, 1482, 54%
OfficeSymbols_2014\Concepts\Credit_Card.svg, 1822, 902, 49%
OfficeSymbols_2014\Concepts\Document.svg, 1853, 933, 50%
OfficeSymbols_2014\Concepts\Documents.svg, 2304, 1199, 52%
OfficeSymbols_2014\Concepts\Documents_Shared.svg, 4612, 2605, 56%
OfficeSymbols_2014\Concepts\Document_Blank.svg, 1300, 420, 32%
OfficeSymbols_2014\Concepts\Document_Shared.svg, 4085, 2267, 55%
OfficeSymbols_2014\Concepts\Download.svg, 2837, 1457, 51%
OfficeSymbols_2014\Concepts\Email.svg, 1983, 968, 48%
OfficeSymbols_2014\Concepts\Email_Approved.svg, 2767, 1488, 53%
OfficeSymbols_2014\Concepts\Email_Expired.svg, 3677, 2193, 59%
OfficeSymbols_2014\Concepts\Email_Rejected.svg, 3012, 1733, 57%
OfficeSymbols_2014\Concepts\File_Key.svg, 2902, 1606, 55%
OfficeSymbols_2014\Concepts\Firewall-blue.svg, 3114, 1423, 45%
OfficeSymbols_2014\Concepts\Firewall-ghosted.svg, 29423, 14559, 49%
OfficeSymbols_2014\Concepts\Firewall-green.svg, 3110, 1419, 45%
OfficeSymbols_2014\Concepts\Firewall-orange.svg, 3110, 1419, 45%
OfficeSymbols_2014\Concepts\Firewall.svg, 2951, 1399, 47%
OfficeSymbols_2014\Concepts\Folder-blue.svg, 1714, 883, 51%
OfficeSymbols_2014\Concepts\Folder-ghosted.svg, 6996, 3487, 49%
OfficeSymbols_2014\Concepts\Folder-green.svg, 1711, 880, 51%
OfficeSymbols_2014\Concepts\Folder-orange.svg, 1715, 884, 51%
OfficeSymbols_2014\Concepts\Folder.svg, 1714, 883, 51%
OfficeSymbols_2014\Concepts\Folders.svg, 3570, 1896, 53%
OfficeSymbols_2014\Concepts\Folder_Open.svg, 2022, 1102, 54%
OfficeSymbols_2014\Concepts\Folder_Public.svg, 3118, 1726, 55%
OfficeSymbols_2014\Concepts\Folder_Shared.svg, 3715, 2239, 60%
OfficeSymbols_2014\Concepts\Form.svg, 3133, 1828, 58%
OfficeSymbols_2014\Concepts\Get_Started.svg, 2960, 1639, 55%
OfficeSymbols_2014\Concepts\Globe_Internet.svg, 5780, 3467, 59%
OfficeSymbols_2014\Concepts\Help.svg, 2573, 1615, 62%
OfficeSymbols_2014\Concepts\Home-blue.svg, 1715, 837, 48%
OfficeSymbols_2014\Concepts\Home-ghosted.svg, 6828, 3694, 54%
OfficeSymbols_2014\Concepts\Home-green.svg, 1715, 837, 48%
OfficeSymbols_2014\Concepts\Home-orange.svg, 1715, 837, 48%
OfficeSymbols_2014\Concepts\Home.svg, 1718, 840, 48%
OfficeSymbols_2014\Concepts\Home_Page-blue.svg, 2154, 1057, 49%
OfficeSymbols_2014\Concepts\Home_Page-ghosted.svg, 13948, 7010, 50%
OfficeSymbols_2014\Concepts\Home_Page-green.svg, 2154, 1057, 49%
OfficeSymbols_2014\Concepts\Home_Page-orange.svg, 2154, 1057, 49%
OfficeSymbols_2014\Concepts\Home_Page.svg, 2219, 1122, 50%
OfficeSymbols_2014\Concepts\Hybrid.svg, 6573, 3307, 50%
OfficeSymbols_2014\Concepts\Input_Output_Filter.svg, 3146, 1461, 46%
OfficeSymbols_2014\Concepts\Install.svg, 2307, 1285, 55%
OfficeSymbols_2014\Concepts\Integration.svg, 1558, 731, 46%
OfficeSymbols_2014\Concepts\Lab.svg, 2894, 1942, 67%
OfficeSymbols_2014\Concepts\Learn.svg, 5939, 3617, 60%
OfficeSymbols_2014\Concepts\lib-office-concepts-drawio.svg, 172527, 91770, 53%
OfficeSymbols_2014\Concepts\License.svg, 5397, 3662, 67%
OfficeSymbols_2014\Concepts\Link.svg, 2814, 1871, 66%
OfficeSymbols_2014\Concepts\List_Library.svg, 2828, 1591, 56%
OfficeSymbols_2014\Concepts\Mailbox.svg, 2546, 1216, 47%
OfficeSymbols_2014\Concepts\Mailbox2.svg, 2857, 1316, 46%
OfficeSymbols_2014\Concepts\Maintenance.svg, 2734, 1730, 63%
OfficeSymbols_2014\Concepts\Marketplace_Shopping_Bag.svg, 1475, 667, 45%
OfficeSymbols_2014\Concepts\Meets_Requirements.svg, 3120, 1903, 60%
OfficeSymbols_2014\Concepts\Migration.svg, 2415, 1280, 53%
OfficeSymbols_2014\Concepts\MOEs.svg, 2803, 1506, 53%
OfficeSymbols_2014\Concepts\Navigation.svg, 3807, 1993, 52%
OfficeSymbols_2014\Concepts\Node_Generic-blue.svg, 1838, 886, 48%
OfficeSymbols_2014\Concepts\Node_Generic-ghosted.svg, 9151, 4598, 50%
OfficeSymbols_2014\Concepts\Node_Generic-green.svg, 1842, 890, 48%
OfficeSymbols_2014\Concepts\Node_Generic-orange.svg, 1838, 886, 48%
